------------------------------------ [ roc/ElectronEff_v4/medium_electron_2016a.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Electron 3   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  data_s2m0           
Electron 3   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  sim_s2m0            
Electron 3   0      False SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       data_s2m0           
Electron 3   0      True  SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       sim_s2m0            
Electron 3   0      False SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      data_s2m0           
Electron 3   0      True  SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      sim_s2m0            
Electron 3   0      False SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       data_s2m0           
Electron 3   0      True  SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       sim_s2m0            
Electron 3   0      False SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      data_s2m0           
Electron 3   0      True  SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      sim_s2m0            
Electron 3   0      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s2m0           
Electron 3   1      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s2m1           
Electron 3   0      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s2m0            
Electron 3   1      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s2m1            
Electron 3   0      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s2m0           
Electron 3   1      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s2m1           
Electron 3   0      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s2m0            
Electron 3   1      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s2m1            
Electron 4   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             data_s3m0           
Electron 4   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             sim_s3m0            
Electron 4   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            data_s3m0           
Electron 4   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            sim_s3m0            
Electron 4   0      False SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     data_s3m0           
Electron 4   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     sim_s3m0            
Electron 4   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    data_s3m0           
Electron 4   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    sim_s3m0            
Electron 4   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   data_s3m0           
Electron 4   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   sim_s3m0            
Electron 4   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  data_s3m0           
Electron 4   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  sim_s3m0            
Electron 4   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   data_s3m0           
Electron 4   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   sim_s3m0            
Electron 4   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  data_s3m0           
Electron 4   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  sim_s3m0            
Electron 4   0      False SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       data_s3m0           
Electron 4   0      True  SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       sim_s3m0            
Electron 4   0      False SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      data_s3m0           
Electron 4   0      True  SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      sim_s3m0            
Electron 4   0      False SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       data_s3m0           
Electron 4   0      True  SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       sim_s3m0            
Electron 4   0      False SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      data_s3m0           
Electron 4   0      True  SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      sim_s3m0            
Electron 4   0      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s3m0           
Electron 4   1      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s3m1           
Electron 4   0      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s3m0            
Electron 4   1      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s3m1            
Electron 4   0      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s3m0           
Electron 4   1      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s3m1           
Electron 4   0      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s3m0            
Electron 4   1      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s3m1            
Electron 5   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             data_s4m0           
Electron 5   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             sim_s4m0            
Electron 5   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            data_s4m0           
Electron 5   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            sim_s4m0            
Electron 5   0      False SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     data_s4m0           
Electron 5   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     sim_s4m0            
Electron 5   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    data_s4m0           
Electron 5   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    sim_s4m0            
Electron 5   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   data_s4m0           
Electron 5   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   sim_s4m0            
Electron 5   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  data_s4m0           
Electron 5   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  sim_s4m0            
Electron 5   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   data_s4m0           
Electron 5   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   sim_s4m0            
Electron 5   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  data_s4m0           
Electron 5   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  sim_s4m0            
Electron 5   0      False SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       data_s4m0           
Electron 5   0      True  SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       sim_s4m0            
Electron 5   0      False SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      data_s4m0           
Electron 5   0      True  SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      sim_s4m0            
Electron 5   0      False SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       data_s4m0           
Electron 5   0      True  SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       sim_s4m0            
Electron 5   0      False SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      data_s4m0           
Electron 5   0      True  SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      sim_s4m0            
Electron 5   0      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s4m0           
Electron 5   1      False RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s4m1           
Electron 5   0      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s4m0            
Electron 5   1      True  RECO               Plus   root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s4m1            
Electron 5   0      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s4m0           
Electron 5   1      False RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              data_s4m1           
Electron 5   0      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s4m0            
Electron 5   1      True  RECO               Minus  root/ElectronEff_v4/medium_electron_2018/RECO.root                              sim_s4m1            
Electron 6   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             data_s5m0           
Electron 6   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             sim_s5m0            
Electron 6   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            data_s5m0           
Electron 6   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            sim_s5m0            
Electron 6   0      False SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     data_s5m0           
Electron 6   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     sim_s5m0            
Electron 6   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    data_s5m0           
Electron 6   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    sim_s5m0            
Electron 6   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   data_s5m0           
Electron 6   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   sim_s5m0            
Electron 6   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  data_s5m0           
Electron 6   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  sim_s5m0            
Electron 6   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   data_s5m0           
Electron 6   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   sim_s5m0            
Electron 6   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  data_s5m0           
Electron 6   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  sim_s5m0            
Electron 6   0      False SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       data_s5m0           
Electron 6   0      True  SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       sim_s5m0            
Electron 6   0      False SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      data_s5m0           
Electron 6   0      True  SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      sim_s5m0            
Electron 6   0      False SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       data_s5m0           
Electron 6   0      True  SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       sim_s5m0            
Electron 6   0      False SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      data_s5m0           
Electron 6   0      True  SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      sim_s5m0            
Electron 7   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             data_s6m0           
Electron 7   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             sim_s6m0            
Electron 7   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            data_s6m0           
Electron 7   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            sim_s6m0            
Electron 7   0      False SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     data_s6m0           
Electron 7   0      True  SingleTrigger      Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Plus_v4.root     sim_s6m0            
Electron 7   0      False SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    data_s6m0           
Electron 7   0      True  SingleTrigger      Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28Or_MediumID_Minus_v4.root    sim_s6m0            
Electron 7   0      False DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   data_s6m0           
Electron 7   0      True  DoubleTriggerLeg1  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Plus_v4.root   sim_s6m0            
Electron 7   0      False DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  data_s6m0           
Electron 7   0      True  DoubleTriggerLeg1  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele23Leg1_MediumID_Minus_v4.root  sim_s6m0            
Electron 7   0      False DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   data_s6m0           
Electron 7   0      True  DoubleTriggerLeg2  Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Plus_v4.root   sim_s6m0            
Electron 7   0      False DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  data_s6m0           
Electron 7   0      True  DoubleTriggerLeg2  Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele12Leg2_MediumID_Minus_v4.root  sim_s6m0            
Electron 7   0      False SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       data_s6m0           
Electron 7   0      True  SingleTrigger1     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Plus_v4.root       sim_s6m0            
Electron 7   0      False SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      data_s6m0           
Electron 7   0      True  SingleTrigger1     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele28_MediumID_Minus_v4.root      sim_s6m0            
Electron 7   0      False SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       data_s6m0           
Electron 7   0      True  SingleTrigger2     Plus   root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Plus_v4.root       sim_s6m0            
Electron 7   0      False SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      data_s6m0           
Electron 7   0      True  SingleTrigger2     Minus  root/ElectronEff_v4/medium_electron_2018/2018_Ele32_MediumID_Minus_v4.root      sim_s6m0            
Electron 8   0      False ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             data_s7m0           
Electron 8   0      True  ID                 Plus   root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Plus_v4.root             sim_s7m0            
Electron 8   0      False ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            data_s7m0           
Electron 8   0      True  ID                 Minus  root/ElectronEff_v4/medium_electron_2018/2018_MediumID_Minus_v4.root            sim_s7m0            
------------------------------------ [ roc/ElectronEff_v4/tight_electron_2016a.txt ] -----------------------------------------
Flavor   Set Member isMC  Type               Charge File                                                                            Key                 
Electron 0   0      False ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        data                
Electron 0   0      True  ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        sim                 
Electron 0   0      False ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       data                
Electron 0   0      True  ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       sim                 
Electron 0   0      False SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  data                
Electron 0   0      True  SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  sim                 
Electron 0   0      False SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root data                
Electron 0   0      True  SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root sim                 
Electron 0   0      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data                
Electron 0   0      True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim                 
Electron 0   0      False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data                
Electron 0   0      True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim                 
Electron 1   -1     False ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        data_s0m0           
Electron 1   -1     True  ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        sim_s0m0            
Electron 1   -1     False ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       data_s0m0           
Electron 1   -1     True  ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       sim_s0m0            
Electron 1   -1     False SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  data_s0m0           
Electron 1   -1     True  SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  sim_s0m0            
Electron 1   -1     False SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root data_s0m0           
Electron 1   -1     True  SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root sim_s0m0            
Electron 1   -1     False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s0m0           
Electron 1   -1     True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s0m0            
Electron 1   -1     False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s0m0           
Electron 1   -1     True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s0m0            
Electron 2   0      False ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        data_s1m0           
Electron 2   0      True  ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        sim_s1m0            
Electron 2   0      False ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       data_s1m0           
Electron 2   0      True  ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       sim_s1m0            
Electron 2   0      False SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  data_s1m0           
Electron 2   0      True  SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  sim_s1m0            
Electron 2   0      False SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root data_s1m0           
Electron 2   0      True  SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root sim_s1m0            
Electron 2   0      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s1m0           
Electron 2   1      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s1m1           
Electron 2   0      True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s1m0            
Electron 2   1      True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s1m1            
Electron 2   0      False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s1m0           
Electron 2   1      False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s1m1           
Electron 2   0      True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s1m0            
Electron 2   1      True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s1m1            
Electron 3   0      False ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        data_s2m0           
Electron 3   0      True  ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        sim_s2m0            
Electron 3   0      False ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       data_s2m0           
Electron 3   0      True  ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       sim_s2m0            
Electron 3   0      False SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  data_s2m0           
Electron 3   0      True  SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  sim_s2m0            
Electron 3   0      False SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root data_s2m0           
Electron 3   0      True  SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root sim_s2m0            
Electron 3   0      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s2m0           
Electron 3   1      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s2m1           
Electron 3   0      True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s2m0            
Electron 3   1      True  RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s2m1            
Electron 3   0      False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s2m0           
Electron 3   1      False RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s2m1           
Electron 3   0      True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s2m0            
Electron 3   1      True  RECO               Minus  root/ElectronEff_v4/tight_electron_2016a/RECO.root                              sim_s2m1            
Electron 4   0      False ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        data_s3m0           
Electron 4   0      True  ID                 Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Plus_v4.root        sim_s3m0            
Electron 4   0      False ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       data_s3m0           
Electron 4   0      True  ID                 Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_TightID_SelQ_Minus_v4.root       sim_s3m0            
Electron 4   0      False SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  data_s3m0           
Electron 4   0      True  SingleTrigger      Plus   root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Plus_v4.root  sim_s3m0            
Electron 4   0      False SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root data_s3m0           
Electron 4   0      True  SingleTrigger      Minus  root/ElectronEff_v4/tight_electron_2016a/2016a_Ele27_TightID_SelQ_Minus_v4.root sim_s3m0            
Electron 4   0      False RECO               Plus   root/ElectronEff_v4/tight_electron_2016a/RECO.root                              data_s3m0           
